DATE,CPI_Core,PCECI_Core,PPIFES_Core
1/1/1957,12.50675,NA,NA
2/1/1957,12.55063,NA,NA
3/1/1957,12.59451,NA,NA
4/1/1957,12.6384,NA,NA
5/1/1957,12.6384,NA,NA
6/1/1957,12.68228,NA,NA
7/1/1957,12.72616,NA,NA
8/1/1957,12.72616,NA,NA
9/1/1957,12.77005,NA,NA
10/1/1957,12.81393,NA,NA
11/1/1957,12.85781,NA,NA
12/1/1957,12.85781,NA,NA
1/1/1958,12.85781,NA,NA
2/1/1958,12.9017,NA,NA
3/1/1958,12.94558,NA,NA
4/1/1958,12.94558,NA,NA
5/1/1958,12.94558,NA,NA
6/1/1958,12.98946,NA,NA
7/1/1958,12.98946,NA,NA
8/1/1958,12.98946,NA,NA
9/1/1958,13.03335,NA,NA
10/1/1958,13.03335,NA,NA
11/1/1958,13.07723,NA,NA
12/1/1958,13.12111,NA,NA
1/1/1959,13.12111,16.80598,NA
2/1/1959,13.12111,16.81899,NA
3/1/1959,13.165,16.83851,NA
4/1/1959,13.165,16.88079,NA
5/1/1959,13.20888,16.90139,NA
6/1/1959,13.25276,16.95127,NA
7/1/1959,13.25276,16.99138,NA
8/1/1959,13.25276,17.01849,NA
9/1/1959,13.29665,17.06294,NA
10/1/1959,13.34053,17.09221,NA
11/1/1959,13.34053,17.12365,NA
12/1/1959,13.38441,17.14967,NA
1/1/1960,13.38441,17.15401,NA
2/1/1960,13.4283,17.18653,NA
3/1/1960,13.4283,17.18762,NA
4/1/1960,13.4283,17.21906,NA
5/1/1960,13.4283,17.24725,NA
6/1/1960,13.47218,17.25701,NA
7/1/1960,13.4283,17.28736,NA
8/1/1960,13.4283,17.3123,NA
9/1/1960,13.4283,17.32639,NA
10/1/1960,13.51606,17.33615,NA
11/1/1960,13.51606,17.38277,NA
12/1/1960,13.47218,17.37735,NA
1/1/1961,13.51606,17.38169,NA
2/1/1961,13.51606,17.39904,NA
3/1/1961,13.55995,17.40446,NA
4/1/1961,13.55995,17.42831,NA
5/1/1961,13.55995,17.45108,NA
6/1/1961,13.60383,17.4771,NA
7/1/1961,13.60383,17.5042,NA
8/1/1961,13.64771,17.52263,NA
9/1/1961,13.64771,17.55733,NA
10/1/1961,13.64771,17.56275,NA
11/1/1961,13.6916,17.566,NA
12/1/1961,13.6916,17.58118,NA
1/1/1962,13.6916,17.60178,NA
2/1/1962,13.6916,17.63105,NA
3/1/1962,13.73548,17.67225,NA
4/1/1962,13.73548,17.6755,NA
5/1/1962,13.77936,17.70044,NA
6/1/1962,13.77936,17.73296,NA
7/1/1962,13.77936,17.74814,NA
8/1/1962,13.82325,17.75031,NA
9/1/1962,13.82325,17.78501,NA
10/1/1962,13.82325,17.78392,NA
11/1/1962,13.82325,17.79693,NA
12/1/1962,13.86713,17.80235,NA
1/1/1963,13.82325,17.83596,NA
2/1/1963,13.86713,17.85656,NA
3/1/1963,13.91101,17.8674,NA
4/1/1963,13.91101,17.88909,NA
5/1/1963,13.91101,17.92161,NA
6/1/1963,13.9549,17.95197,NA
7/1/1963,13.9549,17.96823,NA
8/1/1963,13.99878,17.9845,NA
9/1/1963,13.99878,18.01702,NA
10/1/1963,14.04266,18.05714,NA
11/1/1963,14.04266,18.0734,NA
12/1/1963,14.08655,18.09942,NA
1/1/1964,14.13043,18.12436,NA
2/1/1964,14.13043,18.15905,NA
3/1/1964,14.13043,18.1764,NA
4/1/1964,14.13043,18.19266,NA
5/1/1964,14.13043,18.20784,NA
6/1/1964,14.17431,18.22085,NA
7/1/1964,14.17431,18.23928,NA
8/1/1964,14.17431,18.26313,NA
9/1/1964,14.17431,18.27072,NA
10/1/1964,14.2182,18.27831,NA
11/1/1964,14.26208,18.30433,NA
12/1/1964,14.26208,18.33035,NA
1/1/1965,14.30596,18.35529,NA
2/1/1965,14.30596,18.37697,NA
3/1/1965,14.30596,18.38781,NA
4/1/1965,14.34985,18.4095,NA
5/1/1965,14.34985,18.44311,NA
6/1/1965,14.34985,18.43877,NA
7/1/1965,14.34985,18.4572,NA
8/1/1965,14.34985,18.4919,NA
9/1/1965,14.39373,18.51358,NA
10/1/1965,14.39373,18.50707,NA
11/1/1965,14.43761,18.54177,NA
12/1/1965,14.4815,18.59815,NA
1/1/1966,14.4815,18.60357,NA
2/1/1966,14.52538,18.6491,NA
3/1/1966,14.52538,18.67295,NA
4/1/1966,14.61315,18.74017,NA
5/1/1966,14.65703,18.79005,NA
6/1/1966,14.70091,18.85076,NA
7/1/1966,14.7448,18.90606,NA
8/1/1966,14.78868,18.94075,NA
9/1/1966,14.83256,18.9993,NA
10/1/1966,14.92033,19.06109,NA
11/1/1966,14.92033,19.1088,NA
12/1/1966,14.96421,19.16734,NA
1/1/1967,15.0081,19.18469,NA
2/1/1967,15.0081,19.21939,NA
3/1/1967,15.05198,19.24866,NA
4/1/1967,15.09586,19.30178,NA
5/1/1967,15.13975,19.34407,NA
6/1/1967,15.18363,19.39286,NA
7/1/1967,15.22751,19.45899,NA
8/1/1967,15.31528,19.51862,NA
9/1/1967,15.35916,19.58801,NA
10/1/1967,15.40305,19.66065,NA
11/1/1967,15.44693,19.72353,NA
12/1/1967,15.5347,19.77232,NA
1/1/1968,15.57858,19.86014,NA
2/1/1968,15.66635,19.94579,NA
3/1/1968,15.71023,20.02494,NA
4/1/1968,15.75411,20.09866,NA
5/1/1968,15.798,20.17455,NA
6/1/1968,15.88576,20.2537,NA
7/1/1968,15.97353,20.32092,NA
8/1/1968,16.01741,20.40007,NA
9/1/1968,16.10518,20.48246,NA
10/1/1968,16.19295,20.56595,NA
11/1/1968,16.28071,20.64401,NA
12/1/1968,16.3246,20.70581,NA
1/1/1969,16.36848,20.78387,NA
2/1/1969,16.50013,20.85542,NA
3/1/1969,16.5879,20.953,NA
4/1/1969,16.71955,21.03323,NA
5/1/1969,16.71955,21.1178,NA
6/1/1969,16.80731,21.19044,NA
7/1/1969,16.89508,21.2891,NA
8/1/1969,16.98285,21.34873,NA
9/1/1969,17.07061,21.43438,NA
10/1/1969,17.15838,21.52654,NA
11/1/1969,17.20226,21.60893,NA
12/1/1969,17.29003,21.68916,NA
1/1/1970,17.3778,21.76072,NA
2/1/1970,17.46556,21.8442,NA
3/1/1970,17.59721,21.92552,NA
4/1/1970,17.72886,22.01225,NA
5/1/1970,17.77275,22.09031,NA
6/1/1970,17.9044,22.16946,NA
7/1/1970,17.94828,22.25403,NA
8/1/1970,18.03605,22.331,NA
9/1/1970,18.12381,22.42424,NA
10/1/1970,18.21158,22.53483,NA
11/1/1970,18.34323,22.65084,NA
12/1/1970,18.431,22.76468,NA
1/1/1971,18.47488,22.85466,NA
2/1/1971,18.51876,22.9414,NA
3/1/1971,18.51876,23.01512,NA
4/1/1971,18.60653,23.10078,NA
5/1/1971,18.6943,23.2016,NA
6/1/1971,18.78206,23.29376,NA
7/1/1971,18.82595,23.38266,NA
8/1/1971,18.86983,23.41519,NA
9/1/1971,18.86983,23.45422,NA
10/1/1971,18.91371,23.49108,NA
11/1/1971,18.9576,23.54421,NA
12/1/1971,19.00148,23.61793,NA
1/1/1972,19.08925,23.71876,NA
2/1/1972,19.13313,23.78273,NA
3/1/1972,19.13313,23.82935,NA
4/1/1972,19.2209,23.88464,NA
5/1/1972,19.26478,23.93994,NA
6/1/1972,19.30866,23.98872,NA
7/1/1972,19.35255,24.05703,NA
8/1/1972,19.44031,24.10799,NA
9/1/1972,19.44031,24.18821,NA
10/1/1972,19.4842,24.20231,NA
11/1/1972,19.4842,24.26628,NA
12/1/1972,19.57196,24.33892,NA
1/1/1973,19.57196,24.3541,NA
2/1/1973,19.65973,24.43107,NA
3/1/1973,19.7475,24.52973,NA
4/1/1973,19.79138,24.67176,NA
5/1/1973,19.87915,24.76717,NA
6/1/1973,19.92303,24.87451,NA
7/1/1973,19.96691,24.98076,NA
8/1/1973,20.05468,25.09676,NA
9/1/1973,20.18633,25.22361,NA
10/1/1973,20.31798,25.32119,NA
11/1/1973,20.40575,25.4437,NA
12/1/1973,20.49351,25.58465,NA
1/1/1974,20.58128,25.71041,NA
2/1/1974,20.71293,25.87413,NA
3/1/1974,20.88846,26.07578,NA
4/1/1974,21.02011,26.27094,NA
5/1/1974,21.28341,26.52355,NA
6/1/1974,21.50283,26.79568,NA
7/1/1974,21.72224,27.03312,NA
8/1/1974,22.02943,27.29333,NA
9/1/1974,22.24884,27.53835,NA
10/1/1974,22.46826,27.75411,NA
11/1/1974,22.64379,27.95685,NA
12/1/1974,22.81933,28.15417,NA
1/1/1975,22.95098,28.31788,NA
2/1/1975,23.17039,28.51846,NA
3/1/1975,23.25816,28.66699,NA
4/1/1975,23.38981,28.80685,NA
5/1/1975,23.47758,28.92937,NA
6/1/1975,23.60923,29.07031,NA
7/1/1975,23.69699,29.2492,NA
8/1/1975,23.78476,29.35003,NA
9/1/1975,23.91641,29.50941,NA
10/1/1975,24.04806,29.65685,NA
11/1/1975,24.22359,29.85309,NA
12/1/1975,24.35524,30.03415,NA
1/1/1976,24.53078,30.18811,NA
2/1/1976,24.66243,30.30845,NA
3/1/1976,24.79408,30.4082,NA
4/1/1976,24.88184,30.52746,NA
5/1/1976,25.01349,30.67165,NA
6/1/1976,25.10126,30.79634,NA
7/1/1976,25.27679,30.96547,NA
8/1/1976,25.40844,31.14436,NA
9/1/1976,25.54009,31.3265,NA
10/1/1976,25.67174,31.48046,NA
11/1/1976,25.75951,31.62357,NA
12/1/1976,25.84728,31.79487,NA
1/1/1977,26.02281,31.98894,NA
2/1/1977,26.19834,32.18518,NA
3/1/1977,26.32999,32.32179,NA
4/1/1977,26.46164,32.48116,NA
5/1/1977,26.59329,32.64704,NA
6/1/1977,26.76883,32.8422,NA
7/1/1977,26.85659,33.04494,NA
8/1/1977,26.98824,33.20757,NA
9/1/1977,27.11989,33.34743,NA
10/1/1977,27.20766,33.50897,NA
11/1/1977,27.33931,33.68244,NA
12/1/1977,27.51484,33.85591,NA
1/1/1978,27.69038,34.05865,NA
2/1/1978,27.82203,34.18984,NA
3/1/1978,27.99756,34.37524,NA
4/1/1978,28.21698,34.5975,NA
5/1/1978,28.39251,34.80132,NA
6/1/1978,28.61193,34.99539,NA
7/1/1978,28.78746,35.20139,NA
8/1/1978,29.00688,35.39004,NA
9/1/1978,29.27018,35.59386,NA
10/1/1978,29.48959,35.85515,NA
11/1/1978,29.66513,36.04814,NA
12/1/1978,29.84066,36.188,NA
1/1/1979,30.06008,36.37339,NA
2/1/1979,30.36726,36.49265,NA
3/1/1979,30.63056,36.7019,NA
4/1/1979,30.84998,37.04125,NA
5/1/1979,31.06939,37.36326,NA
6/1/1979,31.28881,37.57251,NA
7/1/1979,31.55211,37.76115,NA
8/1/1979,31.90318,38.0116,NA
9/1/1979,32.16648,38.27072,NA
10/1/1979,32.47366,38.55044,NA
11/1/1979,32.82473,38.79655,NA
12/1/1979,33.21968,39.07519,NA
1/1/1980,33.65851,39.37226,NA
2/1/1980,34.00958,39.76473,NA
3/1/1980,34.49229,40.13336,NA
4/1/1980,34.88724,40.33935,NA
5/1/1980,35.15054,40.66461,NA
6/1/1980,35.54549,40.93457,NA
7/1/1980,35.45773,41.22188,NA
8/1/1980,35.67714,41.52003,NA
9/1/1980,36.02821,41.91142,NA
10/1/1980,36.42316,42.25619,NA
11/1/1980,36.81811,42.58904,NA
12/1/1980,37.25694,42.84491,NA
1/1/1981,37.47636,43.21678,NA
2/1/1981,37.69577,43.53228,NA
3/1/1981,37.91519,43.77406,NA
4/1/1981,38.17849,44.05378,NA
5/1/1981,38.52956,44.35735,NA
6/1/1981,38.88062,44.57852,NA
7/1/1981,39.40722,44.8474,NA
8/1/1981,39.80217,45.14772,NA
9/1/1981,40.28489,45.4437,NA
10/1/1981,40.41654,45.71475,NA
11/1/1981,40.59207,45.98146,NA
12/1/1981,40.81149,46.15168,NA
1/1/1982,40.94314,46.43465,NA
2/1/1982,41.16256,46.61354,NA
3/1/1982,41.20644,46.81737,NA
4/1/1982,41.55751,47.00276,NA
5/1/1982,41.86469,47.25863,NA
6/1/1982,42.17187,47.49607,NA
7/1/1982,42.43517,47.80398,NA
8/1/1982,42.61071,48.02407,NA
9/1/1982,42.65459,48.20188,NA
10/1/1982,42.78624,48.50762,NA
11/1/1982,42.69847,48.68651,NA
12/1/1982,42.65459,48.84155,NA
1/1/1983,42.83012,49.17548,NA
2/1/1983,43.00566,49.35762,NA
3/1/1983,43.09342,49.4205,NA
4/1/1983,43.26896,49.57012,NA
5/1/1983,43.40061,49.64168,NA
6/1/1983,43.53226,49.87369,NA
7/1/1983,43.79556,50.20979,NA
8/1/1983,43.92721,50.46891,NA
9/1/1983,44.10274,50.67274,NA
10/1/1983,44.32216,50.76273,NA
11/1/1983,44.54157,50.8809,NA
12/1/1983,44.67322,50.91885,NA
1/1/1984,44.98041,51.08798,NA
